Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"Transportation, Department of",17091322,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway row,7948000,26544,0
"Transportation, Department of",170913HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,highway maint in,1000,0,0
"Transportation, Department of",170913PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,bus inspection in,3000,0,0
"Transportation, Department of",17091422,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway row,14873000,1091095,0
"Transportation, Department of",170914HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,highway maintenance in,4920000,0,0
"Transportation, Department of",170914PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,bus safety ind,125000,0,0
"Transportation, Department of",17091522,Non-Federal Aided Highway Capital Projects,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway row,0,0,23431000
"Transportation, Department of",170915HM,Non-Federal Aided Highway Capital Projects,Preservation of Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,highway maintenance in,0,0,6404000
"Transportation, Department of",170915PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,bus safety ind,0,0,152000
"Transportation, Department of",17101222,New York Works,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,accelerated highway/row cap,100361000,86980279,0
"Transportation, Department of",17108626,Municipal Highway - Railroad Crossing Alterations,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/86,Municipal Hwy Rr Crossing Alterations,1124000,0,0
"Transportation, Department of",17108826,Municipal Highway - Railroad Crossing Alterations,Highway Facilities,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/88,Municipal Hwy Rr Crossing Alterations,443000,0,0
"Transportation, Department of",171114PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,rail safety ps,461000,0,0
"Transportation, Department of",171115PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,rail safety ps,0,0,674000
"Transportation, Department of",171414PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,rail safety nps,47000,0,0
"Transportation, Department of",171415PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,rail safety nps,0,0,87000
"Transportation, Department of",17148440,Mass Transportation and Rail Freight Bondable,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/84,Rebuild New York,930000,0,0
"Transportation, Department of",17148541,Rail Freight,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/85,Rail,120000,0,0
"Transportation, Department of",17150041,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/00,Rail Freight,625000,591254,0
"Transportation, Department of",17150341,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/03,Railroads,3760000,3760426,0
"Transportation, Department of",17150441,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/04,Railroads,6060000,2065330,0
"Transportation, Department of",17150541,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/05,Railroads,571000,13364,0
"Transportation, Department of",17150641,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/00,Railroads,3997000,2949244,0
"Transportation, Department of",17150741,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/07,Railroads,3495000,1251922,0
"Transportation, Department of",17150841,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/08,Railroads,8305000,3253331,0
"Transportation, Department of",17150941,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/09,Railroads,3526000,117756,0
"Transportation, Department of",17158441,Mass Transportation and Rail Freight Bondable,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/84,Rail,339000,0,0
"Transportation, Department of",17158514,Airport or Aviation Program,Aviation,Capital Projects Fund,Capital Projects Fund - Aviation (Bondable),0054/01/85,State Share Federal Aviation Improvem,726000,0,0
"Transportation, Department of",17159441,Mass Transportation and Rail Freight Bondable,Mass Transportation and Rail Freight,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/94,Rail,43000,0,0
"Transportation, Department of",17159941,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/99,Rail Freight,4167000,1131654,0
"Transportation, Department of",17161041,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0055/01/10,Railroads,8351000,6601586,0
"Transportation, Department of",17161141,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/11,Railroads,11680000,9363563,0
"Transportation, Department of",17161241,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/12,rail cap and ops,19456000,3060106,0
"Transportation, Department of",17161341,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,rail cap and ops,9976000,6641943,0
"Transportation, Department of",17161441,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,rail capital,10000000,8074826,0
"Transportation, Department of",17161541,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,rail capital,0,0,10000000
"Transportation, Department of",17168714,Airport or Aviation Program,Aviation,Capital Projects Fund,Capital Projects Fund - Infrastructure Renewal (Bondable),0054/01/87,State Share Fed.Aviation Improvements,183000,0,0
"Transportation, Department of",17170029,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/00,Omnibus,6890000,6752624,0
"Transportation, Department of",17170129,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0000/00/01,Omnibus,575000,447258,0
"Transportation, Department of",17170229,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/02,Omnibus,139000,138876,0
"Transportation, Department of",17170329,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/03,Omnibus,55000,54881,0
"Transportation, Department of",17170429,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/04,Omnibus,1375000,1357352,0
"Transportation, Department of",17170529,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0000/00/00,Omnibus,470000,430105,0
"Transportation, Department of",17170629,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/06,Omnibus,1500000,1149365,0
"Transportation, Department of",17170729,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/07,Omnibus,4000000,3460382,0
"Transportation, Department of",17170829,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0000/00/00,Omnibus,4250000,3792761,0
"Transportation, Department of",17170929,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/09,Omnibus,5500000,4966576,0
"Transportation, Department of",17171029,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/10,Omnibus,8000000,4094183,0
"Transportation, Department of",17171129,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0054/01/11,Omnibus,11750000,7184120,0
"Transportation, Department of",17171229,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0054/01/12,Omnibus,18500000,7807066,0
"Transportation, Department of",17171329,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0054/01/13,Omnibus,18500000,0,0
"Transportation, Department of",17171341,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/13,rail ops,29140000,5270000,0
"Transportation, Department of",17171441,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,rail operating,44330000,2342729,0
"Transportation, Department of",17171541,Mass Transportation and Rail Freight,Mass Transportation and Rail Freight,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,rail operating,0,0,44330000
"Transportation, Department of",17178414,Airport or Aviation Program,Aviation,Capital Projects Fund,Capital Projects Fund - Aviation (Bondable),0054/01/84,State Share Federal Aviation Improvem,313000,0,0
"Transportation, Department of",17179329,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0054/01/93,Omnibus,1022000,468710,0
"Transportation, Department of",17179429,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0054/01/94,Omnibus,1744000,1213855,0
"Transportation, Department of",17179629,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0053/01/96,Omnibus,303000,166092,0
"Transportation, Department of",17179729,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/97,Omnibus,435000,171050,0
"Transportation, Department of",17179829,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/98,Omnibus,380000,61665,0
"Transportation, Department of",17179929,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/99,Omnibus,1131000,1028197,0
"Transportation, Department of",17180529,Mass Transportation,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0055/01/05,Omnibus,1375000,808594,0
"Transportation, Department of",171814PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0054/01/14,rail safety fr,334000,0,0
"Transportation, Department of",171815PT,Non-Federal Aided Highway Capital Projects,Health and Safety,Dedicated Highway and Bridge Trust Fund,Dedicated Highway and Bridge Trust Fund,0000/00/15,rail safety fr,0,0,377000
"Transportation, Department of",171892A2,Rail Freight,Mass Transportation and Rail Freight,Dedicated Mass Transportation Trust Fund,Dedicated Mass Transportation Non MTA,0054/01/92,Oak Point Link State Share,1292000,0,0
